unitid,year,f1b01,f1b02,f1b03,f1c011,f1d01,f2e011,f2b01,f2b04
110556,2017,80798182,0,481377,147174119,365630172,,,
110565,2017,181897247,227549,0,226898077,578548937,,,
110574,2017,89638003,2826,0,89745067,268225118,,,
110583,2017,150880063,0,0,233787473,556089746,,,
110592,2017,85904720,0,0,148952487,392239914,,,
110608,2017,164074934,0,0,218408850,591466568,,,
110617,2017,128272193,1001464,5413978,182738306,481212959,,,
110635,2017,834441000,377872000,79555000,824276982,,,,
110644,2017,571058000,396905000,131982000,924248577,,,,
110653,2017,523326000,200535000,18167000,759765388,,,,
110662,2017,832780000,588609000,55982000,2245090004,,,,
110671,2017,294890000,81825000,9339000,331310868,,,,
110680,2017,629187000,671047000,33489000,957956318,,,,
110699,2017,58693000,704068000,66514000,382645787,,,,
110705,2017,367780000,120567000,4686000,309341669,,,,
110714,2017,260694000,67685000,4426000,196164517,,,,
111188,2017,9921865,813404,78146,21569462,60225054,,,
111434,2017,4362123,0,0,21738711,56510675,,,
111461,2017,13224999,0,0,74501208,175391705,,,
111887,2017,10212486,2444808,20339318,86342995,189484215,,,
111896,2017,1600663,378973,5154815,13221923,,,,
111920,2017,9989247,5217048,22342768,41517162,130154310,,,
111939,2017,11019385,0,0,49644925,180788058,,,
112172,2017,11026321,0,0,38376476,128208392,,,
112190,2017,18447803,0,0,127865950,311191160,,,
112367,2017,596386,0,110981,972368,,,,
112376,2017,5115552,1514655,5484517,16402210,48637024,,,
112385,2017,5760752,1705692,6176253,18470942,54771379,,,
112561,2017,949832,804001,3629242,8066869,,,,
112686,2017,993181,0,0,18853206,62048461,,,
112817,2017,0,0,0,0,326771064,,,
112826,2017,3082797,0,0,28933344,,,,
113096,2017,5050207,971159,10324261,35907045,,,,
113111,2017,2126795,0,0,13666500,,,,
113193,2017,6691783,0,0,32770984,91805758,,,
113218,2017,2444807,1001929,6396677,14295294,,,,
113236,2017,8242803,0,0,46928549,,,,
113333,2017,28359406,0,0,85110773,,,,
113573,2017,5727982,0,0,44513439,116310869,,,
113634,2017,27287834,0,0,85834469,,,,
113856,2017,14813736,3420094,17730049,106245289,,,,
113980,2017,15383815,0,0,66369380,227994893,,,
114266,2017,4828530,1498467,5711228,42472094,,,,
114433,2017,916615,2767969,4648428,10613326,25750075,,,
114716,2017,22687525,0,0,67966157,,,,
114789,2017,7004701,3965169,18591250,62588945,,,,
114831,2017,11281434,0,0,0,344344778,,,
114859,2017,13448783,0,0,76567632,,,,
114938,2017,2703121,3640758,8598457,18651858,58272197,,,
115001,2017,11983260,0,0,59632000,161757625,,,
115126,2017,10112805,2994284,10842203,32425111,96149296,,,
115287,2017,3850343,1228362,7826648,17525979,227165848,,,
115296,2017,4154806,2298358,14644247,32792421,,,,
115393,2017,2665103,3834404,12721384,24946571,84930737,,,
115755,2017,34828949,685741,586439,63726772,172970767,,,
115861,2017,2565790,3006268,11521241,27259995,86486397,,,
116439,2017,15073905,1133746,11621344,45418423,,,,
117052,2017,3081041,4614049,9958186,28963566,,,,
117195,2017,2076976,955450,3301760,7451903,25925748,,,
117247,2017,7400340,3374887,16163855,32082440,,,,
117274,2017,1370675,594191,4057333,6310457,23185713,,,
117645,2017,11924152,8104143,29420139,72175265,252813592,,,
117681,2017,0,0,0,75555,1352956742,,,
117690,2017,5007544,192179,5486780,34754679,,,,
117706,2017,10383621,5692189,11218673,71474719,,,,
117715,2017,1459557,4266185,5282596,31097247,,,,
117724,2017,3520997,3938026,11001120,62269071,,,,
117733,2017,7120254,5500732,10886290,59804756,,,,
117788,2017,7576836,4158301,11964855,63686908,,,,
117803,2017,569655,0,171289,4178684,,,,
117867,2017,2707591,2300454,6186699,33298017,,,,
117894,2017,3911401,0,0,41028002,,,,
117900,2017,9133,342005,2790226,18562,527253833,,,
118347,2017,4351287,1002828,6386151,36983582,81922467,,,
118684,2017,1304744,1238226,6395343,18028407,39191574,,,
118718,2017,4650404,1954434,15257211,35876758,105118266,,,
118772,2017,4716406,2150893,10301595,15856217,,,,
118912,2017,13051685,0,0,55935183,154391467,,,
118930,2017,7335588,0,0,40159616,,,,
118976,2017,6368058,4046880,17391638,44703561,,,,
119067,2017,4462033,0,0,25063493,69478139,,,
119137,2017,9313388,0,0,36234734,,,,
119164,2017,19649950,0,0,155153549,301741914,,,
119216,2017,5876686,3535457,13126988,42117820,137588705,,,
119331,2017,4250004,2440433,7443733,17999472,65984008,,,
120023,2017,0,0,0,0,426100080,,,
120290,2017,10765768,1297423,10470745,29452700,97396419,,,
120342,2017,17272313,5114130,18518099,55380944,164219594,,,
120421,2017,1369803,0,0,19179660,,,,
120953,2017,609711,979775,3617910,7701488,23001071,,,
120971,2017,15855274,0,0,87672268,193116311,,,
121044,2017,24725696,6483463,14489679,86011681,240992336,,,
