unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
108232,2017,618,30307,8322,7029,41
108348,2017,28,23345,4536,8750,100
108649,2017,78,14435,3661,5628,44
108667,2017,269,,5485,,70
108807,2017,941,,4571,4943,80
108852,2017,134,39696,9171,18207,99
108977,2017,33,9519,5983,3971,85
109040,2017,737,21760,4137,7907,69
109086,2017,1,25112,23565,10500,100
109208,2017,1265,,4674,6076,73
109350,2017,1083,,5695,3828,83
109651,2017,210,45622,16766,6055,56
109721,2017,676,21247,4710,6328,75
109730,2017,126,22518,3983,7075,90
109785,2017,1134,28784,21186,7777,97
109819,2017,1967,,5313,5524,72
109907,2017,210,,5495,,85
109934,2017,131,21635,4507,9214,89
110060,2017,23,16351,3992,2623,70
110097,2017,846,33206,18028,8661,99
110194,2017,235,25375,5506,12371,81
110219,2017,364,18901,4618,9626,82
110246,2017,1221,,5618,4647,73
110316,2017,0,,,,
110334,2017,973,,4534,5050,65
110361,2017,1146,25714,17641,7867,94
110370,2017,255,39075,22812,7886,77
110404,2017,235,24466,41408,5988,52
110413,2017,638,28241,27282,6919,97
110422,2017,4333,,5891,5900,50
110468,2017,10,18884,13346,8125,80
110486,2017,1289,,9913,5280,89
110495,2017,1330,,8875,4769,88
110510,2017,2736,,9287,4610,88
110529,2017,4079,,7957,6161,68
110538,2017,2725,,8615,5308,66
110547,2017,1257,,9363,4497,88
110556,2017,3208,,10267,4816,82
110565,2017,4274,,8436,5594,72
110574,2017,1584,,9402,5134,74
110583,2017,4143,,8454,5454,74
110592,2017,3675,,9553,3945,88
110608,2017,4422,,9782,4644,82
110617,2017,3680,,8984,5109,78
110635,2017,6129,,18319,6237,48
110644,2017,5667,,18690,4971,63
110653,2017,6540,,18824,5162,60
110662,2017,6535,,20011,5912,56
110671,2017,5345,,21249,5208,83
110680,2017,5714,,18231,5333,52
110705,2017,4970,,19558,6053,57
110714,2017,4203,,18050,5950,64
110778,2017,0,,,,
110875,2017,39,11929,4506,5158,54
110918,2017,1,22525,3365,,100
111054,2017,79,18409,4171,5916,66
111081,2017,188,51199,15401,11032,87
111188,2017,236,,7716,6877,52
111434,2017,249,,3498,9400,55
111461,2017,1478,,4248,5107,58
111513,2017,51,13546,3961,5732,43
111638,2017,29,24787,5808,7923,72
111708,2017,160,16539,6223,7602,54
111717,2017,198,16347,7624,6924,51
111726,2017,190,8091,13285,6339,57
111744,2017,131,13521,6685,7600,64
111762,2017,108,5689,9677,5796,22
111799,2017,74,7038,12579,7757,32
111887,2017,1665,,5239,6770,83
111896,2017,219,,3943,,58
111920,2017,948,,4571,5670,64
111939,2017,1681,,5161,8853,70
111948,2017,1511,40053,26378,7013,84
111966,2017,0,,,,
112075,2017,406,25094,21853,7662,98
112084,2017,57,26980,16644,8028,98
112172,2017,1258,,5266,4623,52
112181,2017,101,5430,4489,5251,52
112190,2017,916,,4947,5220,59
112260,2017,321,28712,40673,4369,41
112288,2017,472,19000,3584,5848,75
112367,2017,470,,3295,,62
112385,2017,182,,5198,7551,83
112394,2017,105,23601,8566,6492,59
112446,2017,22,25309,5268,7761,59
112455,2017,27,13718,4628,6740,74
112561,2017,218,,4423,,71
112570,2017,81,25345,5640,6445,46
112686,2017,457,,5224,,83
112826,2017,312,,4787,4259,70
113096,2017,969,,4624,6927,73
113111,2017,437,,4186,,65
113193,2017,859,,3440,5171,70
113218,2017,528,,5331,3397,76
113236,2017,1182,,4892,3772,68
113333,2017,2439,,4714,4962,43
113449,2017,82,11535,4585,5962,78
113537,2017,0,,,,
113573,2017,1023,,5258,8499,82
113582,2017,4,,,11380,0
113634,2017,1319,,4537,4164,33
113698,2017,268,34694,26409,7649,98
113856,2017,1859,,5453,4665,60
113980,2017,2433,,5411,6999,64
114044,2017,176,24074,5785,7684,77
114123,2017,225,21336,4477,6700,74
114266,2017,634,,4902,4500,63
114354,2017,396,40448,8303,9286,60
114390,2017,51,36135,9172,6675,78
114415,2017,59,33534,8779,7124,71
114433,2017,175,,5050,5128,65
114460,2017,68,14833,4562,5948,57
114628,2017,13,16733,1144,,38
114637,2017,16,12003,3625,1300,50
114716,2017,937,,3642,4721,37
114761,2017,33,11422,5484,,64
114789,2017,2028,,5574,2538,85
114813,2017,211,14235,25394,8127,100
114859,2017,1913,,4887,4365,66
114938,2017,433,,4537,5443,66
114947,2017,70,27657,8937,16880,90
115001,2017,1294,,5547,4468,70
115010,2017,461,22139,3936,12045,87
115083,2017,0,,,,
115126,2017,1027,,4949,6548,58
115296,2017,1482,,5171,4300,67
115357,2017,36,10773,5271,7349,78
115393,2017,950,,4658,,84
115409,2017,216,38135,33782,7236,69
115658,2017,10,11713,5986,,70
115728,2017,95,21890,31318,5850,100
115755,2017,1282,,9038,5868,73
115773,2017,10,18479,7783,8104,90
115861,2017,1077,,6616,12371,89
115931,2017,593,24685,4134,7484,47
116226,2017,1,,,,0
116350,2017,82,16706,3624,7568,65
116439,2017,1584,,5021,3460,43
116563,2017,37,25921,3790,7425,92
116712,2017,0,,,,
116846,2017,4,26977,21728,5500,100
117052,2017,973,,5640,3548,88
117104,2017,91,19919,6212,6605,68
117113,2017,102,25805,6575,7701,96
117140,2017,557,27718,24969,7249,98
117168,2017,84,36887,8739,7921,100
117195,2017,160,,3996,,57
117238,2017,60,12602,4730,7851,75
117247,2017,343,,5703,6148,68
117274,2017,190,,3823,5467,58
117557,2017,16,15462,5733,5067,19
117575,2017,2,26555,6415,9500,100
117627,2017,327,25661,17566,6688,100
117636,2017,0,,,,
117645,2017,2544,,5391,5004,73
117672,2017,4,18878,3594,6645,100
117690,2017,466,,4558,3258,69
