unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
143613,2018,257,,8087,2432,89
143695,2018,7,13962,6193,7437,86
144005,2018,118,,12050,5483,100
144050,2018,1736,33003,42732,8140,55
144157,2018,377,,5003,5457,82
144166,2018,721,,5563,3136,83
144175,2018,204,,5610,3971,90
144184,2018,387,,5385,4401,77
144193,2018,448,,5185,2846,64
144209,2018,1313,,5613,3458,76
144218,2018,1010,,5277,3290,74
144281,2018,1432,31269,11290,7956,85
144351,2018,327,16775,23374,5864,100
144485,2018,481,18180,4043,6782,87
144564,2018,306,,5421,3005,63
144573,2018,11,15325,4933,9724,82
144740,2018,2539,30584,24112,6816,98
144795,2018,177,12306,4725,7496,59
144865,2018,2073,,6056,4089,45
144883,2018,104,17436,10392,5341,93
144892,2018,661,,9641,6087,92
144944,2018,882,,4170,3765,43
144962,2018,497,23042,23331,7343,100
144971,2018,106,21488,14243,8507,100
145099,2018,284,20896,3459,5543,63
145239,2018,24,13973,6149,6917,79
145309,2018,13,10478,3753,6454,77
145336,2018,199,,9021,9334,79
145354,2018,0,,,,
145372,2018,220,21464,17578,6929,100
145406,2018,74,21432,4473,7358,45
145424,2018,2,,,9500,0
145433,2018,10,17595,5149,8333,70
145497,2018,13,27597,7077,4892,77
145521,2018,206,,4576,4037,78
145600,2018,4014,,12850,6430,72
145619,2018,420,25508,18891,7122,99
145637,2018,7503,,14328,6816,49
145646,2018,378,31999,27418,7567,100
145682,2018,1140,,4810,4655,54
145691,2018,258,16865,25396,7754,100
145707,2018,217,,4545,3723,99
145725,2018,472,25814,34691,8010,100
145770,2018,10,15896,7548,9167,80
145813,2018,3333,,9572,7729,66
145831,2018,372,,5093,3802,52
146205,2018,447,,4805,4792,68
146278,2018,325,,4950,4441,68
146296,2018,998,,4064,4495,50
146339,2018,169,21437,19210,7760,100
146348,2018,214,,4697,4002,56
146366,2018,141,,5541,7077,65
146418,2018,437,,5679,4716,54
146427,2018,358,24668,31815,7301,99
146454,2018,29,12290,3980,6338,76
146472,2018,1157,,5046,4488,45
146481,2018,357,27131,31131,7265,100
146506,2018,899,,4809,3348,66
146533,2018,0,,,,
146603,2018,494,,5085,4016,54
146612,2018,609,18899,20958,7932,99
146667,2018,79,18653,7173,6841,95
146676,2018,294,15488,15062,6750,87
146685,2018,799,,5495,5216,52
146700,2018,599,14012,4705,8053,78
146719,2018,2653,35033,22692,8273,97
146755,2018,0,,,,
146807,2018,10,14142,5380,5789,80
146816,2018,36,14970,4710,4523,92
146825,2018,142,16623,19695,8407,99
147004,2018,603,,5598,4589,33
147013,2018,364,19676,22246,6790,100
147129,2018,2,30592,4283,2750,100
147165,2018,3,17286,8810,7600,100
147244,2018,474,21348,24614,8128,100
147341,2018,281,17812,29898,7577,100
147369,2018,271,19232,8684,6376,89
147378,2018,1613,,5225,4275,44
147396,2018,62,19769,6538,7256,87
147411,2018,356,,4791,3343,71
147439,2018,15,8615,3990,5323,100
147536,2018,499,14285,8756,3955,88
147590,2018,0,,,,
147642,2018,6,7355,2776,,100
147660,2018,601,24913,24670,7409,100
147679,2018,388,20249,16831,8789,99
147703,2018,1831,,9959,7177,90
147767,2018,1903,27540,45427,6994,60
147776,2018,792,,6266,6073,67
147800,2018,487,,4728,4421,53
147819,2018,42,10137,3250,5147,52
147828,2018,750,20741,25347,6818,100
147916,2018,738,,4952,3815,52
148007,2018,304,,6446,4976,66
148016,2018,85,13734,28616,5667,98
148098,2018,61,12771,4418,4952,36
148131,2018,234,18547,21599,5387,100
148256,2018,505,,4685,6273,81
148292,2018,265,,4319,4195,75
148335,2018,424,22592,15033,6357,96
148380,2018,760,,5028,3736,43
148399,2018,74,17392,5178,8630,93
148405,2018,151,21419,19009,7086,99
148487,2018,360,23707,20550,7875,96
148496,2018,441,18037,22987,5567,100
148511,2018,0,,,,
148575,2018,0,,,,
148584,2018,229,19418,21000,6723,99
148593,2018,0,,,,
148627,2018,602,15131,25494,5922,100
148654,2018,277,,13774,5625,95
148672,2018,274,,4859,3710,59
148821,2018,189,,6280,3750,89
148876,2018,167,8666,10444,,85
148937,2018,257,,5695,,78
148955,2018,20,10769,3725,5672,90
148991,2018,172,,5955,4374,77
149028,2018,0,,,,
149204,2018,36,10346,3737,5850,83
149222,2018,1370,,11738,7166,88
149231,2018,1774,,9053,5916,86
149310,2018,29,15430,7420,1479,21
149329,2018,13,9035,8629,,85
149365,2018,300,,7643,,94
149499,2018,8,12831,3489,4676,63
149505,2018,191,23368,18004,7001,97
149514,2018,138,19318,24788,7762,99
149532,2018,817,,5403,4022,61
149550,2018,51,14052,3955,6453,78
149639,2018,15,22874,14694,12288,100
149727,2018,931,,4664,3284,46
149763,2018,0,,,,
149772,2018,1191,,9816,7077,87
149781,2018,580,28162,19443,7616,82
149842,2018,1553,,5327,4321,47
150048,2018,225,14535,11195,6610,92
150066,2018,346,23787,18786,7006,96
150136,2018,3973,,9952,7831,90
150145,2018,229,20247,19352,7500,100
150163,2018,1054,37954,18564,9509,96
150172,2018,96,10340,12168,5246,95
150251,2018,49,29041,4808,9695,39
150303,2018,36,15916,4250,8569,69
150400,2018,595,29262,33305,5498,100
150428,2018,44,14400,2341,5399,91
150437,2018,14,8698,5997,5176,57
150455,2018,287,22601,35999,6067,99
150534,2018,442,23038,26028,7605,99
150604,2018,268,22245,21074,7173,100
150668,2018,215,18519,25495,7320,100
150677,2018,349,20577,13040,8393,100
150756,2018,343,21548,28081,6982,100
150765,2018,18,19532,4997,5292,67
150774,2018,192,24399,18293,7096,73
150853,2018,52,14115,4507,9559,62
150941,2018,218,19709,17237,6073,97
150987,2018,4803,,6387,3948,64
151102,2018,1480,,8013,5177,70
151111,2018,3933,,12224,6443,71
151263,2018,1139,20976,20763,7628,99
151290,2018,432,20041,18528,6398,100
151306,2018,1696,,7377,5722,82
151324,2018,2681,,9163,6667,80
151333,2018,590,,8325,5184,62
151342,2018,916,,8147,5220,76
151351,2018,7975,,11640,7832,63
151360,2018,559,,8469,5454,61
151379,2018,867,,7408,5547,65
151388,2018,377,,8297,5433,76
151458,2018,75,15906,7252,6359,69
151467,2018,135,13753,7954,7535,70
151564,2018,9,4532,5252,,44
151607,2018,38,15017,4741,8966,87
151652,2018,72,15959,4798,8574,90
151661,2018,610,20719,4282,7680,60
151777,2018,397,18308,25480,6615,100
151786,2018,338,20427,26103,7116,100
151801,2018,784,20342,17281,7628,96
151810,2018,15,14095,8937,7658,100
151962,2018,51,18888,4219,11458,65
152044,2018,15,7273,4009,5142,93
152080,2018,2051,30229,39153,6674,55
152099,2018,98,15066,21086,6728,100
152150,2018,12,12193,4421,10267,100
152275,2018,60,14019,4401,7430,87
152309,2018,28,11680,6548,7486,57
152318,2018,557,44063,20968,13960,99
152327,2018,1,8737,5920,9500,100
152336,2018,451,16544,21396,6866,100
152381,2018,132,16337,25870,5192,100
152390,2018,362,25610,29297,8425,100
152497,2018,6,19628,10524,5125,83
152530,2018,448,25382,19838,6410,98
152567,2018,602,24973,22854,7948,98
152600,2018,807,23916,27304,9091,99
152628,2018,21,9257,3754,4348,29
152637,2018,1721,,7166,7614,79
152673,2018,232,22101,32499,7306,100
152798,2018,0,,,,
152992,2018,158,18442,23981,7292,100
153001,2018,203,20580,24772,7942,99
153074,2018,43,9750,5170,6114,86
153083,2018,31,7060,4863,6706,90
153108,2018,322,22753,27794,7564,100
153126,2018,170,25819,20023,6583,95
153144,2018,400,22456,32624,7893,100
153162,2018,300,27962,27840,8471,100
153171,2018,5,14467,4527,9871,100
153214,2018,1888,,4337,4301,53
153241,2018,1,10364,9266,3800,100
153250,2018,397,26273,17300,8019,99
153269,2018,758,29511,24115,8516,100
153278,2018,515,21452,19256,11881,92
153296,2018,299,,4819,5191,90
153302,2018,60,16005,11523,6056,98
153311,2018,476,,5046,4689,67
153320,2018,95,14953,12757,5193,93
153339,2018,16,5276,4125,5436,75
153366,2018,254,18923,22207,7277,100
153375,2018,330,17946,19516,7341,100
153384,2018,447,30808,35006,5229,85
153409,2018,0,,,,
153418,2018,0,,,,
153427,2018,43,19615,5201,7531,77
153445,2018,872,,4237,5283,56
153463,2018,8,8844,5537,9047,75
153472,2018,635,,5060,5321,73
153524,2018,1186,,4874,5153,88
153533,2018,338,,4964,5431,72
153542,2018,0,,,,
153588,2018,14,11405,6360,11736,71
153597,2018,22,7682,5178,6018,100
153603,2018,5771,,7990,7431,80
153621,2018,220,25016,14383,3507,75
153630,2018,901,,5388,5566,92
153658,2018,4709,,7832,7373,84
153737,2018,2011,,5048,4684,62
153746,2018,14,13663,4775,4834,79
153764,2018,42,16143,4102,6177,86
153773,2018,74,9654,5625,6200,86
153782,2018,23,14297,4761,6503,96
153825,2018,336,20316,23014,7390,100
153834,2018,516,24688,29357,8788,100
153861,2018,17,16690,23040,11315,100
153922,2018,311,,4132,4416,78
153977,2018,34,19095,7655,8811,79
154004,2018,354,23396,20452,8059,100
154013,2018,238,20704,23619,11176,100
154022,2018,579,19141,4183,6288,87
154059,2018,575,,4144,4683,88
154095,2018,1813,,4718,6005,67
154101,2018,281,24269,19252,8116,100
154110,2018,419,,4731,4776,65
154129,2018,204,,5654,6116,68
154165,2018,15,10078,4991,10687,87
154174,2018,1,23515,8420,9500,100
154208,2018,46,11904,4847,5928,57
154235,2018,546,25562,18819,9071,100
154262,2018,3,21375,6330,6333,100
154332,2018,48,14581,4188,6808,88
154341,2018,22,13946,4877,6031,86
154350,2018,296,23759,26322,8019,100
154378,2018,425,,5741,4950,71
154396,2018,282,,5284,5046,80
154448,2018,33,9332,4012,5896,82
154457,2018,0,,,,
154466,2018,10,10509,5031,6688,80
154493,2018,216,21630,22576,7083,99
154518,2018,147,19983,13353,7085,95
154527,2018,451,22599,29213,8211,98
154545,2018,63,6960,5782,7958,75
154572,2018,386,,4475,4302,81
154590,2018,278,18338,18149,7816,100
154642,2018,324,,3884,4274,81
154688,2018,256,23016,21237,6790,100
154697,2018,382,,5708,4691,90
154712,2018,438,24461,18758,6507,100
154721,2018,281,22583,20320,9835,93
154749,2018,124,22211,18889,6719,99
154800,2018,1331,,4227,4718,79
154855,2018,158,13184,14728,6024,93
154907,2018,314,,4424,4489,73
154925,2018,487,,4004,4040,82
154934,2018,180,,4277,5089,86
154952,2018,594,,4379,3506,85
154998,2018,350,,5310,3894,83
155007,2018,50,12029,7171,5275,100
155025,2018,604,,6195,6106,91
155052,2018,78,,3952,4704,72
155061,2018,977,,4760,5498,90
155070,2018,29,22484,8736,3471,100
155089,2018,174,18780,18719,7488,100
155098,2018,293,,4879,4571,92
155104,2018,509,,4655,3953,78
155140,2018,162,,5323,,80
155159,2018,55,11543,4364,5540,64
155177,2018,163,18972,19861,7011,100
155186,2018,477,,5139,4530,91
155195,2018,869,,4878,4207,86
155201,2018,232,,5049,3524,98
155210,2018,1525,,3988,3834,53
155283,2018,454,24562,3613,8417,73
155292,2018,594,,5334,4788,64
155308,2018,36,10174,4143,6059,89
155317,2018,4079,,9096,7130,75
155335,2018,212,13902,23239,5296,100
155353,2018,45,15158,4090,6592,71
155399,2018,3308,,6796,6583,79
155414,2018,182,25221,17309,6532,99
155423,2018,200,,3789,4636,62
155450,2018,241,,4433,3945,92
155487,2018,45,,4859,5772,42
155496,2018,85,20447,8772,8227,96
155511,2018,202,22094,18939,10047,100
155520,2018,223,19905,21542,5949,98
155566,2018,280,,4652,4622,89
155593,2018,199,,4245,5626,72
155618,2018,231,,4841,6251,85
155627,2018,202,25583,16682,8679,100
155636,2018,0,,,,
155681,2018,986,,4426,6145,81
155715,2018,287,,4352,4271,94
155812,2018,144,20558,19176,6912,99
155830,2018,76,,3953,4325,59
155858,2018,301,,3779,3878,74
155900,2018,188,22966,19747,8461,100
155937,2018,218,20061,16016,9269,100
155973,2018,149,24894,17557,6558,99
156082,2018,819,,6986,5729,81
156107,2018,443,,4743,5502,71
156125,2018,1502,,6055,8159,78
156134,2018,451,16615,4880,8827,92
156189,2018,218,15120,9451,4334,100
156213,2018,320,22646,16895,7192,99
156231,2018,318,,5438,5018,95
156277,2018,47,12071,4076,5990,60
156286,2018,680,23607,31527,7093,100
156295,2018,432,1196,34198,2017,100
156310,2018,106,6990,4790,7919,80
156338,2018,188,,4580,4775,93
156356,2018,124,13413,19592,5809,95
156365,2018,520,17843,20380,6081,96
156392,2018,1273,,4566,4417,88
156408,2018,401,25051,28776,6749,99
156417,2018,6,9789,7927,,100
156426,2018,58,19196,4195,8943,71
156471,2018,276,23144,4304,6389,72
156541,2018,428,17588,18175,7806,100
156620,2018,2521,,8628,5730,98
156648,2018,737,,5007,3885,96
156745,2018,305,19852,29896,6288,100
156754,2018,16,10235,5539,7538,88
156790,2018,340,,5881,4589,98
156842,2018,25,13221,4686,7792,48
156851,2018,189,,4948,3754,95
156860,2018,156,,5413,3909,91
156921,2018,978,,4615,4525,90
156967,2018,14,10701,5221,6178,79
157021,2018,7,20312,5039,4514,100
157030,2018,15,12365,5300,3584,93
157058,2018,292,,8632,6196,96
157076,2018,192,26422,10807,5678,100
157085,2018,4755,,10268,8661,93
157100,2018,162,18839,13807,5673,100
157216,2018,542,15405,21862,5205,100
157289,2018,2640,,10047,6621,94
157304,2018,336,,4923,4039,96
157331,2018,433,,5554,4488,95
157377,2018,137,22791,16477,6677,100
157386,2018,1343,,9023,6096,97
157401,2018,1439,,8881,8696,90
157438,2018,366,,4531,4221,86
157447,2018,2080,,8941,5480,97
157483,2018,704,,4838,4019,93
157535,2018,279,18015,18042,6813,100
157553,2018,361,,6229,4474,96
157614,2018,33,13195,4490,7131,82
157650,2018,46,14417,4868,8198,87
157669,2018,66,14214,5133,8372,97
157678,2018,36,14461,4578,8315,92
157711,2018,803,,5808,4189,96
157739,2018,352,,6056,4517,98
157748,2018,114,26473,1539,12208,45
157757,2018,164,23552,11044,5031,95
157793,2018,230,30541,10407,9724,93
157809,2018,349,18517,20054,6554,99
157818,2018,282,26125,23991,6981,100
157827,2018,23,16690,3668,5965,65
157863,2018,247,17445,19775,6181,100
157951,2018,3042,,7911,5901,91
158088,2018,472,,4768,5851,61
158246,2018,113,21660,5825,11782,86
158325,2018,0,,,,
158343,2018,36,13539,4764,7009,81
158431,2018,915,,5820,5927,67
158477,2018,173,25897,27086,8491,100
158538,2018,21,1607,4667,,100
158617,2018,803,13373,4389,6258,38
158644,2018,25,20705,3674,5234,56
158662,2018,1166,,4937,5169,83
158778,2018,58,16877,3480,4338,86
158787,2018,63,9266,3612,5579,46
158802,2018,337,17590,13887,7991,100
158884,2018,186,,4228,3877,90
159009,2018,906,,7407,6975,94
159027,2018,46,12343,2960,5936,41
159197,2018,179,18119,4856,10055,71
159319,2018,2,3032,5680,,100
159328,2018,70,8424,3214,,100
159373,2018,0,,,,
159382,2018,415,,6288,5832,95
159391,2018,4910,,11821,6626,93
159407,2018,664,,5986,4951,79
159416,2018,280,,8295,4714,93
159513,2018,47,17301,5803,9783,83
159522,2018,56,16778,4506,10225,73
159531,2018,23,12858,5284,5773,65
159568,2018,299,12572,12756,5794,94
159601,2018,11,10869,5070,2043,82
159647,2018,1909,,10968,5633,96
159656,2018,801,22804,30158,6386,99
159717,2018,1318,,8421,4954,87
159939,2018,948,,9177,5077,88
159948,2018,26,12026,1211,4012,46
159966,2018,1095,,8142,5142,89
159993,2018,1340,,12349,6024,93
160010,2018,148,,4401,,75
160038,2018,1288,,10065,5921,93
160065,2018,70,12886,8065,6250,70
160074,2018,79,14477,9755,6150,89
160117,2018,10,6766,5113,7667,90
160126,2018,3,15267,6167,6833,33
160135,2018,1,5216,5815,2722,100
160199,2018,25,9178,5005,,80
160320,2018,637,18139,5144,10306,51
160409,2018,15,29982,5658,5491,40
160445,2018,24,19597,5117,8301,67
160472,2018,19,16655,3952,5077,100
160481,2018,317,,5277,5071,75
160524,2018,126,22174,5103,8174,90
160579,2018,518,,5004,4889,81
160597,2018,10,9943,5625,,90
160612,2018,2100,,8689,4869,88
160621,2018,1224,,7459,6273,90
160630,2018,196,,6726,5357,89
160649,2018,600,,5948,6857,90
160658,2018,2975,,9590,6109,93
160667,2018,427,,5198,5080,80
160755,2018,1905,37692,31862,9544,77
160904,2018,715,18227,15966,7061,94
160913,2018,111,,4216,,80
160940,2018,0,,,,
160959,2018,91,17279,37690,6902,100
160977,2018,510,25113,43757,7046,43
160995,2018,78,14152,3551,6046,72
161004,2018,501,24831,43239,7044,54
161022,2018,6,13145,6461,5505,67
161077,2018,470,,6124,6076,75
161086,2018,552,20689,47893,5079,48
161138,2018,393,,4743,5054,78
161192,2018,198,,4827,4794,75
161208,2018,13,25638,10376,8500,92
161217,2018,187,,6506,5420,79
161226,2018,437,,8233,6238,93
161235,2018,129,,6211,6284,80
161244,2018,87,,7939,6166,97
161253,2018,2270,,9754,9114,100
161299,2018,244,,6065,11964,54
161341,2018,164,,6555,5880,90
161457,2018,650,34445,19199,10248,100
161484,2018,142,,6035,5114,85
161493,2018,69,13243,4877,7656,84
161509,2018,119,31174,17299,12165,100
161518,2018,266,27221,22560,11832,96
161527,2018,84,13623,3889,5450,54
161545,2018,856,,5619,4317,69
161554,2018,888,,8696,6833,92
161563,2018,222,21526,16251,9288,100
161572,2018,175,26614,13709,10048,100
161581,2018,110,,6423,4784,83
161688,2018,387,,5743,6281,84
161767,2018,1257,,4259,4750,34
161800,2018,139,15925,2600,4163,91
161855,2018,13,15368,3750,5600,92
161864,2018,335,,5600,,80
161873,2018,107,,7380,6534,83
162007,2018,1075,,8786,6232,73
162061,2018,60,21816,14408,7023,98
162104,2018,221,,3794,4762,66
162122,2018,1027,,4334,4430,39
162168,2018,258,,4149,5225,64
162210,2018,105,16862,15534,9718,94
162283,2018,383,,8558,5524,88
162335,2018,11,22097,4997,10013,100
162371,2018,540,16005,4505,6784,98
162557,2018,764,,4287,4950,40
162584,2018,774,,7510,7067,77
162609,2018,219,,4899,5160,92
162654,2018,420,29009,30104,7303,99
162681,2018,0,,,,
162690,2018,399,,4335,4252,64
162706,2018,853,,4109,5057,47
162760,2018,255,23149,29652,9851,99
162779,2018,1041,,4436,5076,52
162830,2018,48,13027,4244,5545,67
162928,2018,1419,27868,41995,6361,58
163028,2018,515,22634,4283,7432,70
163046,2018,1020,39027,25223,9102,89
163204,2018,213,,3948,5749,40
163259,2018,0,,,,
163268,2018,1759,,8789,6446,82
163286,2018,5201,,7965,8322,61
163295,2018,422,42314,19965,8638,93
163338,2018,560,,7932,6463,80
163347,2018,250,24426,4548,6461,94
163408,2018,134,15831,2659,2526,88
163426,2018,2133,,5327,4898,58
163453,2018,1192,,9231,7089,83
163462,2018,524,28548,26924,8964,100
163532,2018,36,11326,11424,,72
163541,2018,481,15304,2804,3404,96
163578,2018,154,21686,28552,6995,96
163657,2018,883,,5110,4593,65
163754,2018,23,15144,2950,4852,65
163815,2018,22,14801,3574,4500,86
163851,2018,1326,,5509,6744,86
163912,2018,341,,9177,6491,89
163976,2018,124,29434,35797,6569,99
164076,2018,2735,,8568,7308,56
164173,2018,688,26663,23360,8909,98
164216,2018,368,29457,29979,6524,96
164270,2018,450,24065,31271,7145,100
164313,2018,330,,4618,2802,68
164368,2018,152,46847,13243,8567,69
164438,2018,0,,,,
164447,2018,367,21201,26704,7409,100
164465,2018,471,19275,52025,5626,56
164492,2018,272,25664,25509,10474,100
164535,2018,10,,5246,9402,50
164562,2018,492,29854,23510,9173,99
164580,2018,550,29587,38895,7077,43
164599,2018,0,,,,
164614,2018,9,17257,9434,4899,89
164632,2018,144,21100,25055,9971,100
164641,2018,34,32761,6990,9579,91
164678,2018,88,23301,5401,7511,49
164720,2018,379,33266,20008,10849,100
164739,2018,1018,38270,27879,7319,70
164748,2018,1263,43799,19384,12820,58
164775,2018,221,,5670,4948,83
164845,2018,63,16965,4677,8202,90
164872,2018,26,31926,6550,7550,27
164924,2018,2412,26567,44021,4097,45
164988,2018,3498,29154,41036,11099,52
165015,2018,858,39735,31085,7431,62
165024,2018,1476,,6141,6216,70
165033,2018,1066,,4483,3585,72
165060,2018,4,28387,1370,5500,100
165112,2018,1153,,5037,5144,63
165167,2018,8,22462,4678,7917,25
165194,2018,350,,4816,4447,61
165255,2018,71,14999,3565,4448,38
165264,2018,1,35549,3754,5500,100
165334,2018,615,29129,25691,7313,90
165529,2018,601,31112,23573,10126,99
165556,2018,322,19428,4650,6160,85
165574,2018,465,31835,23813,11745,95
165608,2018,2,,,5500,0
165635,2018,289,20907,6186,10190,73
165644,2018,153,20041,23801,13650,100
165662,2018,931,46054,19098,12481,74
165671,2018,474,32243,23294,9173,100
165699,2018,773,35472,14412,11178,92
165750,2018,47,16919,4912,7291,74
165802,2018,225,25668,21781,7007,96
165820,2018,751,,6975,7134,69
165866,2018,758,,7020,7469,69
165884,2018,176,14215,10672,6177,97
165936,2018,415,28773,20725,8400,100
165981,2018,134,,3290,1775,86
166018,2018,325,32569,34532,6837,95
166027,2018,1682,17590,53545,6430,55
166045,2018,0,,,,
166054,2018,9,19918,19787,6500,100
166124,2018,818,29050,37044,6547,61
166133,2018,898,,5116,3427,71
166391,2018,410,28988,22644,8248,98
166407,2018,0,,,,
166452,2018,379,32225,13229,10234,96
166489,2018,18,34140,21030,8472,94
166498,2018,49,12755,5429,5642,73
166513,2018,1994,,10720,7604,79
166629,2018,4738,,9694,8147,82
166638,2018,1799,,11175,5819,76
166647,2018,553,,4783,3526,55
166656,2018,766,39665,12308,13918,98
166674,2018,422,,7345,10038,94
166683,2018,1099,18971,48459,8754,60
166692,2018,392,,11129,8961,44
166717,2018,0,,,,
166805,2018,8,15536,4143,9402,63
166823,2018,927,,4402,4654,67
166850,2018,854,33981,21561,12433,100
166869,2018,0,,,,
166887,2018,923,,4971,4464,57
166911,2018,85,30401,16299,11252,100
166939,2018,529,29737,34078,5802,78
166957,2018,415,,4905,3778,80
167039,2018,27,16966,5013,7162,85
167057,2018,108,47881,18149,8360,95
167224,2018,26,33073,4407,15708,35
167251,2018,170,23613,26393,7531,100
167260,2018,374,29158,21260,9509,100
167288,2018,287,,6493,5647,87
167297,2018,25,,5884,6591,36
167312,2018,700,,5455,3685,64
167358,2018,3108,34245,33662,6792,73
167376,2018,702,,5570,2761,64
167394,2018,173,22702,24525,10633,100
167455,2018,82,16717,29891,7722,100
167525,2018,457,,5098,4528,54
167534,2018,840,,5105,4995,67
167598,2018,271,28145,28536,11341,100
167631,2018,108,,5399,8500,72
167677,2018,0,,,,
167729,2018,1082,,7096,8356,68
167738,2018,125,21589,3948,3690,85
167783,2018,400,29601,27862,9440,100
167792,2018,168,40985,27815,8714,94
167835,2018,638,28123,41440,4400,69
167871,2018,36,,3662,5835,64
167899,2018,655,29032,22599,9567,98
167905,2018,769,,5505,4213,77
167987,2018,1319,,8951,7046,84
167996,2018,667,35271,23153,9173,99
168005,2018,1059,33197,19723,9740,97
168032,2018,30,18827,4651,7197,67
168148,2018,1410,26825,43744,7846,37
168218,2018,603,20826,48208,5536,57
168227,2018,966,35661,14849,11183,99
168254,2018,767,30319,19952,10553,98
168263,2018,1009,,6352,7445,59
168281,2018,502,33151,32480,7888,98
168290,2018,128,22261,23507,10203,100
168342,2018,548,18979,51671,5060,53
168421,2018,1124,43815,20929,13238,97
168430,2018,906,,5303,7237,71
168528,2018,529,26710,24948,8031,100
168546,2018,515,17663,39041,6661,100
168555,2018,22,8949,4782,5464,82
168573,2018,683,37034,3991,6060,75
168591,2018,408,22830,29410,9614,100
168607,2018,247,,5901,5600,80
168740,2018,274,21820,17305,10091,99
168786,2018,312,18513,23206,7028,100
168847,2018,548,12877,5955,6612,96
168883,2018,268,,4951,5056,66
168892,2018,23,4575,4234,,74
169080,2018,887,25851,20502,7710,100
169187,2018,14,16362,6581,5408,100
169248,2018,3045,,9474,6919,86
169275,2018,612,,5700,4910,67
169284,2018,87,15076,4651,7962,87
169327,2018,80,18646,11970,9736,91
169363,2018,188,25088,17395,9112,99
169442,2018,237,39067,17097,8539,99
169479,2018,526,17169,11123,11317,96
169503,2018,82,12845,3884,6047,83
169521,2018,1018,,5624,3613,61
169576,2018,0,,,,
169655,2018,195,17836,5387,10892,71
169716,2018,536,22016,32387,6243,100
169734,2018,75,24762,7524,14745,93
169761,2018,29,25005,7281,12329,97
169798,2018,2781,,7916,6418,97
169813,2018,8,10188,5074,4853,88
169910,2018,1776,,9384,7487,94
169947,2018,17,897,8518,6971,100
169974,2018,151,,4520,4460,82
169983,2018,371,39036,20191,11672,100
169992,2018,194,,5118,4571,71
170000,2018,114,13041,7598,7987,89
170037,2018,276,20461,19067,9308,100
170055,2018,1504,,4703,3611,55
170082,2018,4093,,6734,6584,70
170091,2018,30,14346,10859,6403,100
170240,2018,1421,,6422,4091,75
170286,2018,369,21918,18634,10780,96
170301,2018,779,27812,17444,7864,97
170444,2018,533,,6870,4750,75
170532,2018,448,25903,33364,7030,99
170541,2018,755,,5217,4228,68
170550,2018,221,,4438,4921,74
170587,2018,100,,5433,5040,90
170611,2018,75,11744,2239,3307,93
170620,2018,295,,5460,4866,78
170639,2018,360,,11009,6639,92
170657,2018,1325,,5352,3938,53
170675,2018,358,30222,15552,8993,96
170736,2018,40,4686,6499,8850,100
170790,2018,1458,,4424,3575,37
170806,2018,270,16415,13724,5975,99
170842,2018,17,,9162,4157,100
170967,2018,163,16281,13866,6964,99
170976,2018,6815,,19323,7099,50
171012,2018,30,7392,5512,,97
171100,2018,8140,,12436,8129,48
171128,2018,1316,,12314,7726,94
171137,2018,1068,,9519,5373,85
171146,2018,656,,8375,6123,85
171155,2018,387,,6135,5471,67
171225,2018,311,,4087,4437,71
171234,2018,123,,4801,4941,83
171304,2018,543,,5409,4090,59
171395,2018,268,,6150,4281,74
171456,2018,1488,,8455,7119,82
171483,2018,470,,6005,7673,64
171492,2018,263,22671,17327,8714,98
171535,2018,805,,5491,3670,38
171571,2018,2423,,9322,5271,86
171599,2018,321,21979,17992,7742,100
171775,2018,14,10529,3936,5000,50
171881,2018,28,18754,10887,4693,96
171988,2018,62,17504,3974,9287,52
171997,2018,90,16944,4002,9051,57
172015,2018,106,17520,4873,8580,73
172033,2018,3,26142,9135,,100
172051,2018,1218,,6450,6378,84
172200,2018,855,,1861,3076,68
172264,2018,284,19526,17918,10611,100
172291,2018,393,,5380,4482,64
172307,2018,532,,5187,4716,85
172325,2018,0,,,,
172334,2018,269,20000,19288,7170,100
172422,2018,85,,6233,,100
172440,2018,98,23394,10095,5798,100
172495,2018,77,20258,3797,6585,56
172608,2018,0,,,,
172617,2018,678,,5743,4847,52
172635,2018,556,,5362,4240,81
172644,2018,2567,,9518,5857,89
172671,2018,121,,5184,4451,81
172680,2018,27,12088,3752,7429,37
172699,2018,3139,,8216,7792,63
172802,2018,16,9368,5126,6720,75
172866,2018,6,23841,10926,28251,67
172918,2018,439,,4085,6464,71
172927,2018,19,9523,4973,,100
172954,2018,189,,4826,5687,44
172963,2018,806,,3941,4941,54
173045,2018,435,24608,26658,7497,100
173063,2018,303,,4649,5123,71
173115,2018,73,,4643,6697,79
173124,2018,740,,5241,7763,78
173142,2018,136,17546,19307,8309,99
173160,2018,581,27085,23246,8558,100
173203,2018,474,,4661,5844,68
173258,2018,522,32336,36499,4502,58
173300,2018,568,23109,26148,9574,100
173328,2018,245,18591,13595,8118,99
173416,2018,387,,4517,5522,52
173452,2018,183,19244,6326,6773,83
173461,2018,438,,4127,5919,48
173470,2018,10,10957,5206,10124,60
173559,2018,712,,4369,5685,58
173638,2018,302,,4856,5090,73
173647,2018,588,23906,31858,9541,92
173665,2018,535,22079,27574,8726,100
173708,2018,332,,4500,6577,56
173735,2018,167,,5268,5983,65
173744,2018,185,14925,5534,8452,66
173799,2018,405,,4578,4725,47
173805,2018,219,,4992,5919,67
173902,2018,543,29013,37267,6100,82
