Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
United Methodist,FALSE,-0.039524206530729064,-0.42346460224581267,Alabama,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate Colleges--Diverse Fields,-0.6332352093306949,-0.6110488126408841,-0.08848759938753382,-0.7529504243905689,-0.6705958304282816,-0.513095736653559,0.3601527693289022,0.5268419021350034,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,0.2298944458952824,0.21858321791364133,0.3061069018838118
Not applicable,TRUE,-1.01140477171044,-0.9825876544773554,Alabama,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.17046089760202116,0.2817273282014057,0.2707554268410687,-0.4185383247307256,0.008611857582668745,-1.1426912732104195,-0.021171543878129757,-0.5131613625409166,TRUE,TRUE,0.3318804893979765,-0.03547764746816452,-0.2543506851497454,-0.4566037509512404,-1.1418705642312854,-0.49101845565803215,-0.19693632585162257
Baptist,FALSE,-0.4271852953456912,-0.905154458548431,Alabama,"Private not-for-profit, 4-year or above",Rural: Remote,Baccalaureate Colleges--Arts & Sciences,-0.7141029568698829,-0.716202902709218,0.899430722741123,-0.5857443745606473,3.1499474146333144,-0.6180283260797024,0.4356472798224156,0.8329375547740624,TRUE,FALSE,-0.1741266357006683,-1.1206598855429244,1.670608525957672,-0.4566037509512404,-0.4109228858233209,-0.10961181662727085,-0.74571075610846
Not applicable,TRUE,-1.2476897762904218,-1.3031095271449253,Alabama,"Public, 4-year or above",Rural: Remote,Master's Colleges and Universities (larger programs),-0.28167777998929716,-0.4885298269649354,-0.8518790301233141,-0.4185383247307256,1.1972253116018319,-1.1951575679234911,0.13135818140468325,0.7707932852071331,TRUE,FALSE,-2.1665524312097855,2.1045105307393035,0.8976333757003607,-0.4566037509512404,-1.068419905868357,0.5953318864203625,0.9920749397048586
Christian Methodist Episcopal,FALSE,-0.9283400270109405,-1.5278663005317168,Alabama,"Private not-for-profit, 4-year or above",Suburb: Large,Baccalaureate Colleges--Diverse Fields,-0.574306680324419,-0.5344227653564887,-2.6031887829877514,-0.7529504243905689,-0.8403977524310193,-1.6148879256280648,0.28541320394032405,1.1559796795315473,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.7590095434942223,0.9823048074536465,2.91278544560379
Southern Baptist,TRUE,-0.14056966377387578,-0.5490190444733534,Alabama,"Private not-for-profit, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Diverse Fields,-0.580241927850231,-0.559918842240685,0.13603929200534273,-0.2513322749008039,0.8576214675963568,-0.19829796837512872,0.05194837597394064,-0.37362505417310854,TRUE,FALSE,0.48710529938434954,-0.2130659634941463,-0.27620260180702333,-0.4566037509512404,-0.17466303317899143,0.14668047245500737,-0.01401151576601008
Not applicable,TRUE,-0.8498088807733011,-0.5050988593595369,Alabama,"Public, 4-year or above",Suburb: Large,Master's Colleges and Universities (medium programs),-0.4263494384309637,-0.40322133187673265,0.5850930747910958,-0.5857443745606473,0.7727205065949879,-0.4081631472274156,-0.4702868460997446,-0.6498787555881623,TRUE,FALSE,-0.32152233692168525,0.6642626730865527,-0.10912084107386467,-0.4566037509512404,-0.9156013732323515,0.2889227143574519,-0.4255923384586382
Not applicable,TRUE,-1.3421269374705185,-1.5081022172304994,Alabama,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),-0.01628742633513376,0.04647433770776744,0.5401876965125205,0.08307982475903945,0.008611857582668745,-1.090224978497348,-0.662599178093746,0.3005730523695799,TRUE,FALSE,0.1953645566902958,0.3469934220497303,-0.48720658942380374,-0.4566037509512404,-1.1392978616616558,-0.1920317433008178,-0.5627859460228476
Seventh Day Adventists,TRUE,0.14566176453845997,-0.19336102371473035,Alabama,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate Colleges--Diverse Fields,-0.5491878649026791,-0.5075485221542277,-2.6480941612663265,0.5846979742488045,0.008611857582668745,-0.8278935049319892,0.522630085391028,0.5975059278570787,TRUE,FALSE,0.9774329900230236,-0.9182141234819188,-0.18462070791658775,-0.4566037509512404,-0.3790642523360729,1.0082503564439158,2.546935825432565
Baptist,TRUE,0.49951296651921334,0.2463182207398896,Alabama,"Private not-for-profit, 4-year or above",Suburb: Large,Master's Colleges and Universities (medium programs),-0.23864723542716043,-0.34878376231317837,0.9443361010196983,-0.08412622507088223,0.34821570158814397,0.8510279258863055,0.5158601972217741,-1.378047479426755,TRUE,TRUE,-0.9235108326290573,0.2830034990319956,-0.3776376463308609,3.556345566913521,0.4100479433336037,0.7300956637479464,-0.8829043636726694
