Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
Not applicable,TRUE,-1.1863709360774704,-0.9823012184874826,Kentucky,"Public, 4-year or above",Town: Distant,Master's Colleges and Universities (larger programs),0.9566692216461841,1.150385558477564,1.0341468575768489,-0.4185383247307256,-0.07628910341870006,-0.7229609155058458,0.28388790668749625,-0.13867459028106874,TRUE,TRUE,-0.03759518820497777,0.15421240833208458,0.04069833849316146,-0.4136614517876938,-1.0581719739659985,-0.29131376548736526,-0.9743667687154757
Baptist,TRUE,0.7461714591051456,0.5528047299036963,Kentucky,"Private not-for-profit, 4-year or above",Town: Fringe,Baccalaureate Colleges--Arts & Sciences,-0.6026050926349867,-0.6202825269719173,0.8096199661839724,-0.4185383247307256,0.17841377958540636,0.22143238932944492,0.3601527693289022,0.3428084026244497,FALSE,FALSE,-1.1116735473027182,2.025091919887909,-0.506786263499543,-0.4566037509512404,0.8953668439061706,-0.26977981807487944,-0.6542483510656538
Not applicable,TRUE,-1.2980972439341512,-1.1474793059807493,Kentucky,"Public, 4-year or above",Town: Distant,Baccalaureate Colleges--Arts & Sciences,-0.4824163302372945,-0.43739985656473634,-1.5254597043019438,-0.5857443745606473,0.09351281858403755,-1.8247531044803518,-0.3947923356062312,0.7799798294039829,TRUE,FALSE,-0.043784128009490615,-0.17905168991034,0.4372337365807446,-0.4566037509512404,-1.1696557519832864,-0.16705816089326073,1.7237741800473085
United Methodist,FALSE,-0.16976911149432883,-0.5853009365238975,Kentucky,"Private not-for-profit, 4-year or above",City: Small,Baccalaureate Colleges--Diverse Fields,-0.6812471223519952,-0.6734797468492134,0.6299984530696712,-0.4185383247307256,-0.8403977524310193,-0.7754272102189176,0.5126824946117152,1.1987781677898157,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,0.0215055377552749,0.9744766594083225,-0.5170547435014444
Not applicable,TRUE,-0.8196873452300969,-0.3347649240485614,Kentucky,"Public, 4-year or above",City: Large,Research Universities (very high research activity),2.262847623576659,2.1909011286163858,0.7198092096268217,0.08307982475903945,-0.500793908425544,0.3788312734686601,0.20280631587926476,-0.8583649586240542,TRUE,TRUE,-0.2565708500050043,0.04498159897233558,-0.3748396550771555,1.7863751145878644,-0.8732804159619425,0.7300989409066984,-0.74571075610846
Christian Churches and Churches of Christ,TRUE,-0.3183789322610556,-0.7699566713285088,Kentucky,"Private not-for-profit, 4-year or above",Town: Distant,Baccalaureate Colleges--Diverse Fields,-0.6879242758185337,-0.6869857767662471,0.4054715616767946,-0.5857443745606473,-1.1800015964364945,-0.7229609155058458,0.4356472798224156,0.8329375547740624,FALSE,FALSE,0.35692221252320905,0.15931977135891764,-0.506786263499543,-0.4566037509512404,-0.29446521617141547,0.3463065651857601,-0.2426675283730257
United Methodist,TRUE,0.17009709184136543,-0.16299880878822237,Kentucky,"Private not-for-profit, 4-year or above",Town: Remote,Master's Colleges and Universities (medium programs),-0.47065182174863157,-0.46082868397183563,0.4503769399553699,-0.7529504243905689,0.34821570158814397,-1.247623862636563,0.3601527693289022,0.10741671720397394,TRUE,FALSE,-0.2452116672593241,0.7807927150806983,-0.34692689921027914,-0.4566037509512404,0.08625188575762291,1.0194899821653247,-0.2883987308944288
Not applicable,TRUE,-0.8916101954046864,-0.1562198236945681,Kentucky,"Public, 4-year or above",City: Large,Research Universities (very high research activity),1.5218955619168124,1.4347012698943042,0.7198092096268217,-0.2513322749008039,-0.500793908425544,0.0115672104771581,0.3601527693289022,-1.0762703382070495,TRUE,TRUE,-0.5396136494326261,0.44995207200845444,-0.24169621776377798,1.3093036560242528,-0.8853292396630417,-0.06365905624974887,-0.6999795535870569
Baptist,TRUE,-0.6422622800023966,-1.1723992370996756,Kentucky,"Private not-for-profit, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Diverse Fields,-0.5123045409922762,-0.4671682490349331,0.8545253444625477,-0.5857443745606473,0.6029185845922503,-1.9821519886195669,0.05817472735484884,0.8858952801441419,TRUE,FALSE,-0.9042872570507797,-0.7974953100495471,2.3439569608483706,-0.4566037509512404,-0.6331829486512487,0.410576370952073,-0.74571075610846
Christian Church (Disciples of Christ),TRUE,0.24978084785744387,-0.06398743495555335,Kentucky,"Private not-for-profit, 4-year or above",Rural: Distant,Baccalaureate Colleges--Diverse Fields,-0.6076924476571113,-0.5921679340833982,0.8545253444625477,-0.7529504243905689,1.7915320386114135,-0.25076426308820043,0.3601527693289022,0.736554494600518,TRUE,FALSE,-0.5382045808723693,-0.18442422916470014,1.1429335724765992,-0.4566037509512404,0.08024891309515356,-1.2703061795889996,-0.6999795535870569
Not applicable,TRUE,-1.1947465671341266,-0.7849468214651809,Kentucky,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (larger programs),0.4529150878928939,0.6246151081358943,1.3933898838054515,-0.5857443745606473,0.2633147405867752,-0.4081631472274156,0.3601527693289022,0.0915293995929504,TRUE,FALSE,-0.2697947360947703,0.3149691187829348,0.14939966197742688,-0.3076048919947287,-1.072836378612888,-1.1655514149310313,-1.3402163888867007
Not applicable,TRUE,-1.191135056495018,-0.6972019299008387,Kentucky,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (larger programs),0.40893066426410885,0.5000288729828486,0.899430722741123,0.41749192441888283,0.09351281858403755,0.0115672104771581,0.8423435137713423,-0.46196424621046106,TRUE,TRUE,-0.1682063483002329,0.7253870634807553,-0.39418705852620417,-0.4566037509512404,-1.1048236472286175,-0.3307268739993759,-1.0200979712368787
Not applicable,TRUE,-1.1690049487489904,-1.0546740452619892,Kentucky,"Public, 4-year or above",Suburb: Large,Master's Colleges and Universities (larger programs),0.8667926162553172,0.9992007133858701,1.0341468575768489,-0.2513322749008039,-0.16119006442006886,-0.7754272102189176,0.20605057265142196,-0.31957541693972863,TRUE,TRUE,0.08595956291268957,-0.1791090273512107,-0.09237411581732746,0.44213382687419034,-1.0098909224092807,-0.45593817287069066,-1.0200979712368787
Presbyterian Church (USA),TRUE,-0.049897694536679485,-0.4363542217900849,Kentucky,"Private not-for-profit, 4-year or above",Town: Remote,Baccalaureate Colleges--Arts & Sciences,-0.5171799228884789,-0.5244999678664232,1.2137683706911502,-0.5857443745606473,-0.500793908425544,-1.247623862636563,0.4356472798224156,1.4684302592150162,TRUE,TRUE,-0.9378642147668658,-0.6218335278246065,0.22568934367386415,4.659942566185894,-0.2563463397647351,0.10789910828635631,-1.1572915788010882
Roman Catholic,TRUE,0.02509878171374728,-0.3431670464181611,Kentucky,"Private not-for-profit, 4-year or above",Rural: Distant,Baccalaureate/Associate's Colleges,-0.6695886004262932,-0.6609384333548249,1.1688629924125749,-0.5857443745606473,0.5180176235908815,-1.3525564520627062,0.3601527693289022,0.9918107308843008,TRUE,FALSE,-1.1013071014019238,-0.8596114028853118,2.691978581801747,-0.4566037509512404,-0.19455859971746128,-0.14022072254598306,-0.9286355661940725
Roman Catholic,TRUE,0.23356747030740282,-0.08413343290993443,Kentucky,"Private not-for-profit, 4-year or above",City: Large,Doctoral/Research Universities,-0.5000100996888086,-0.5750786717393963,0.0462285354481921,-0.5857443745606473,1.2821262726032008,-0.6704946207927741,0.3601527693289022,-0.014386051147208572,TRUE,TRUE,-1.4716476765733792,2.1275709933684914,-0.42570189894832733,0.3594071548769027,0.04755415127277584,-0.2569799522580848,0.031719686755393044
Roman Catholic,TRUE,0.324393120848391,0.028722347099915908,Kentucky,"Private not-for-profit, 4-year or above",Suburb: Large,Master's Colleges and Universities (smaller programs),-0.5813017934798402,-0.5570246929727493,0.8096199661839724,-0.5857443745606473,-0.500793908425544,0.22143238932944492,0.4356472798224156,0.4092757518134273,TRUE,FALSE,-0.4118366795572702,-0.4221740335030566,1.228937924115166,-0.4566037509512404,0.5654177393511587,-0.06353875969168651,-0.6085171485442507
Christian Church (Disciples of Christ),FALSE,0.710056352714059,0.5079297581569707,Kentucky,"Private not-for-profit, 4-year or above",City: Large,Baccalaureate Colleges--Arts & Sciences,-0.6362028330936009,-0.6149076783314652,1.0341468575768489,-0.4185383247307256,-0.07628910341870006,1.0084268100255205,0.5126824946117152,-0.2456708109267394,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,0.8180785708768776,1.2078203165439616,-0.9286355661940725
United Methodist,TRUE,-0.050666101055638776,-0.43730900842299397,Kentucky,"Private not-for-profit, 4-year or above",Town: Remote,Master's Colleges and Universities (larger programs),-0.6275119349308048,-0.6512912691283723,1.0341468575768489,0.08307982475903945,-0.41589294742417526,-0.9852923890712044,0.7535189029529985,1.2387609660310928,TRUE,FALSE,-1.5120944177520164,2.095269354761417,-0.018276200420746656,-0.4566037509512404,0.08280017647670303,-0.21182725177209952,-1.065829173758282
Not applicable,TRUE,-1.1969749460391086,-0.5702153077239345,Kentucky,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),1.4163329452077282,1.6490061323533596,0.764714587905397,0.08307982475903945,0.008611857582668745,-0.14583167366205702,0.20280631587926476,-0.4168647639598128,TRUE,TRUE,-0.19908334801588343,0.2718942221852807,0.13278975427539574,-0.3997467383720886,-0.9737444513059832,-0.42301526369065817,-0.8829043636726694
United Methodist,TRUE,0.7838233785341508,0.59958927491624,Louisiana,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate Colleges--Arts & Sciences,-0.6808231761001515,-0.6832647277074725,0.4952823182339452,-0.4185383247307256,-0.07628910341870006,0.32636497875558834,0.5126824946117152,-0.2991689212495749,FALSE,FALSE,0.7105411885601367,-0.28993417225810825,-0.506786263499543,-0.4566037509512404,0.6721848959907921,0.5710107874525133,-0.4255923384586382
United Methodist,FALSE,-0.31054118576767087,-0.7602178476728364,Louisiana,"Private not-for-profit, 4-year or above",City: Large,Baccalaureate Colleges--Arts & Sciences,-0.6254981902345472,-0.6009881985190121,-2.692999539544902,0.08307982475903945,1.1123243506004632,-0.35569685251434385,0.6748456762281793,1.6802611606953342,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.4018326700772959,1.0218083446062942,2.7755918380395803
Not applicable,TRUE,-0.8974500849487771,-0.6141354928377509,Louisiana,"Public, 4-year or above",Town: Distant,Master's Colleges and Universities (medium programs),-0.2134224334424596,-0.1913971687901937,-2.6031887829877514,0.08307982475903945,0.43311666258951276,-1.1426912732104195,0.43882599605372147,1.4595110633632138,TRUE,TRUE,0.22719369817911586,0.19596579001929923,-0.4029516096138136,-0.35547824069080214,-1.2374679038811098,0.4481931513930339,2.638398230475371
Not applicable,FALSE,-1.3359796853188441,-1.5908822183037146,Louisiana,"Public, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Arts & Sciences,-0.5146362453774166,-0.45931270102196453,0.7198092096268217,-0.7529504243905689,1.0274233895990943,-1.7198205150542083,-0.2377637537797233,-1.7275684668692797,TRUE,FALSE,-0.4463705454816615,-1.1206598855429244,2.055894292273965,-0.4566037509512404,-1.2881501445028154,-1.1991215967935314,-0.5627859460228476
Not applicable,TRUE,-0.858491874437541,0.2696150145828705,Louisiana,"Public, 4-year or above",Rural: Fringe,Research Universities (very high research activity),2.479378171705835,2.670778640566502,0.5850930747910958,0.08307982475903945,-0.5856948694269128,0.746095336460162,0.20280631587926476,-1.1894901046222353,TRUE,TRUE,0.1025448590098057,-0.07313530579543114,-0.49278749414848005,1.1144980832388065,-1.0993352150800741,0.6684706339575899,-0.6085171485442507
Not applicable,TRUE,-1.2213949052116349,-1.3660490619862902,Louisiana,"Public, 4-year or above",City: Midsize,Master's Colleges and Universities (medium programs),-0.3148515741960676,-0.25768696868910407,0.09113391372676741,-0.4185383247307256,0.17841377958540636,-1.037758683784276,0.05509331876327728,-2.1181046722259778,TRUE,FALSE,0.4985989276074052,-0.0472854851318334,-0.4771409823285293,-0.4566037509512404,-1.266818152362969,-1.3252334939843085,0.07745088927679616
Southern Baptist,TRUE,-0.8459668481785046,-1.4255131734838662,Louisiana,"Private not-for-profit, 4-year or above",Suburb: Small,Baccalaureate Colleges--Diverse Fields,-0.6024991060720258,-0.6102219128500452,0.31566080511964395,-0.08412622507088223,-0.5856948694269128,-0.513095736653559,0.3601527693289022,-0.012731122229393354,TRUE,FALSE,-0.7039593666141364,1.1692564164451393,-0.13042862108342837,-0.4566037509512404,-0.5134022048469049,0.032663261799173275,-0.2426675283730257
Not applicable,TRUE,-1.188906677590036,-0.7880976173537808,Louisiana,"Public, 4-year or above",Town: Distant,Research Universities (high research activity),0.41656169679729566,0.5100894871047207,0.3605661833982193,0.2502858745889611,-0.7554967914296504,-0.14583167366205702,0.3601527693289022,-1.4988925016808194,TRUE,TRUE,-0.2475649388520192,0.31140897561857744,-0.0005649432502073364,0.01046169912822047,-1.134988584857526,-0.5069905990761704,-0.4713235409800413
Roman Catholic,TRUE,1.334002446109003,1.2832165040791237,Louisiana,"Private not-for-profit, 4-year or above",City: Large,Master's Colleges and Universities (larger programs),-0.2542272601824168,-0.35801747664421163,-0.17829835594468446,-0.2513322749008039,0.34821570158814397,0.11649979990330152,0.43720386766764235,0.05877204369393167,TRUE,TRUE,-0.8299630687149049,0.41474708890994,-0.506786263499543,3.166784519714299,1.2668650949607025,-0.047727874352528794,0.2603756993624087
Not applicable,TRUE,-1.2786565590044812,-0.9222451392775031,Louisiana,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.13315362743977455,0.27993571198792166,0.5850930747910958,-0.08412622507088223,0.34821570158814397,-0.8278935049319892,0.2822990553824673,-1.5418854422904382,TRUE,FALSE,0.162425806767696,-0.18822813228863403,0.15562291484495175,-0.4566037509512404,-1.2670111050556911,-0.10333448772904819,-0.5170547435014444
Not applicable,TRUE,-1.1199037721874918,-0.5733661036125344,Louisiana,"Public, 4-year or above",City: Large,Research Universities (high research activity),0.2372324322674057,0.2205367436793346,-0.13339297766610914,0.2502858745889611,-0.500793908425544,-1.090224978497348,0.0421120655477187,-1.4988925016808194,TRUE,TRUE,-0.21839225916380314,0.745083273563066,-0.506786263499543,-0.03669905809064499,-1.1975052572995282,-0.4100140924976437,0.07745088927679616
Not applicable,TRUE,-1.1694659926603659,-0.921290352644594,Louisiana,"Public, 4-year or above",City: Small,Master's Colleges and Universities (medium programs),-0.05857606495654398,0.04743905413041271,0.31566080511964395,-0.4185383247307256,0.43311666258951276,-0.5655620313666307,0.13135818140468325,-0.8341500244779289,TRUE,FALSE,-0.05856321098027785,-0.44061108124261633,0.7495153650226043,-0.4566037509512404,-1.2237682626978317,-0.09647013140839852,-0.2426675283730257
Not applicable,TRUE,-1.317768450819509,-1.002351737778573,Louisiana,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.16537354257989662,0.23872853907778815,0.18094467028391803,-0.2513322749008039,0.43311666258951276,-0.6704946207927741,0.2831016709901621,-1.0222207009736697,TRUE,TRUE,0.09853372371055556,0.028088952986331895,-0.2685053242759233,0.25391308249520705,-1.216864844135992,-0.6294806434612258,-0.15120512333021946
Not applicable,TRUE,-1.2266354376709372,-0.9322703989230482,Louisiana,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (larger programs),0.19706352490521403,0.31590585288940937,-0.04358222110895852,-0.5857443745606473,0.9425224285977256,-0.7754272102189176,0.05817472735484884,-0.7557942063283214,TRUE,FALSE,-0.3480610393788362,-0.2435435552037215,0.9396945041222545,-0.4566037509512404,-1.2216672222659675,-1.0683218025458356,0.21464449684100553
Roman Catholic,TRUE,-0.848979001732825,-1.0490980913258001,Louisiana,"Private not-for-profit, 4-year or above",City: Large,Master's Colleges and Universities (smaller programs),-0.6330232362047731,-0.6430222712199843,-0.3130144907804104,-0.7529504243905689,2.131135882616889,-1.3000901573496346,-1.0598989730540835,-0.3644366158434341,TRUE,FALSE,0.4623129394624863,-0.00554880271509009,-0.4722811001693467,-0.4566037509512404,-0.6386713807997921,-1.3277507228965155,0.5347629144908274
Not applicable,TRUE,-1.3255293566609978,-0.873837456989014,Louisiana,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.831923037041172,1.1281970807567228,0.31566080511964395,-0.4185383247307256,0.34821570158814397,-0.880359799645061,-0.021171543878129757,-1.1016405760921057,TRUE,TRUE,0.4630152039715636,-0.16403179771874848,-0.32747139848541945,-0.3767699809849877,-1.2583925514474317,-0.459212512522024,-0.19693632585162257
Not applicable,TRUE,-1.1923645069253528,-1.6989640651490194,Louisiana,"Public, 4-year or above",City: Midsize,Master's Colleges and Universities (larger programs),-0.032609357031116656,0.02786909241389447,-2.5133780264306007,-0.7529504243905689,0.6029185845922503,-1.090224978497348,0.21067363855174584,1.3656922719970621,TRUE,TRUE,0.09122543063391718,0.36879880905152046,-0.506786263499543,-0.08607818887983543,-1.2040013312878433,0.3312413107159631,2.7755918380395803
Not applicable,TRUE,-1.3991427011772979,-2.112864070515095,Louisiana,"Public, 4-year or above",City: Large,Master's Colleges and Universities (medium programs),-0.5079590919108782,-0.514714987008164,-2.558283404709176,-0.7529504243905689,1.5368291556073073,-2.1920171674718536,-2.778908976991382,-0.5217210601925701,TRUE,FALSE,-0.37025616228201524,0.8288738829398814,-0.2235214460299689,-0.4566037509512404,-1.3229673859451376,-0.2975488866883598,2.8670542430823867
Not applicable,TRUE,-1.1806078871852757,-0.9295015176876119,Louisiana,"Public, 4-year or above",City: Midsize,Research Universities (high research activity),1.0133720328302804,1.310528484636678,0.3605661833982193,-0.08412622507088223,-0.24609102542143765,-0.4081631472274156,0.20444534143603135,-1.5964980965783329,TRUE,TRUE,0.4959598244791456,-0.29558742169525576,-0.30952760063041873,-0.16386165705393324,-1.2306288028835108,0.1138712426675839,-0.37986113593723503
Not applicable,TRUE,2.057687705664863,2.182434554952872,Louisiana,"Private not-for-profit, 4-year or above",City: Large,Research Universities (very high research activity),0.62037385737116,0.37847460372954517,0.2707554268410687,0.9191100739086479,-0.16119006442006886,1.2182919888778074,-0.5533308076426094,-1.4654277262873863,TRUE,TRUE,-1.154110936306814,1.111359455014156,-0.3260478976598634,1.8734509137108248,2.1274341045018446,0.2443239022020033,-0.5627859460228476
Roman Catholic,TRUE,-0.22271232065062396,-0.6510857355313314,Louisiana,"Private not-for-profit, 4-year or above",City: Large,Baccalaureate Colleges--Arts & Sciences,-0.42009623121626893,-0.4189324279026698,-2.42356726987345,-0.2513322749008039,1.1123243506004632,-0.35569685251434385,0.5142549660063835,0.05877204369393167,FALSE,TRUE,-0.27301225826895054,-0.6363624508649458,-0.506786263499543,4.160643050050031,-0.08569040264596353,0.9598887740246528,2.546935825432565
Not applicable,TRUE,1.1903104270636156,1.1046714037251302,Maine,"Private not-for-profit, 4-year or above",Town: Remote,Baccalaureate Colleges--Arts & Sciences,-0.7116652659217816,-0.714135653232121,0.4054715616767946,1.7551403230582565,0.8576214675963568,0.8510279258863055,1.6790862761861651,0.44665767560407116,FALSE,FALSE,1.3057181687264448,-1.0460746047836065,-0.506786263499543,-0.4566037509512404,1.4758543003669569,0.9941056867889083,-0.9286355661940725
Not applicable,FALSE,2.0440100696273875,2.1654393528870908,Maine,"Private not-for-profit, 4-year or above",City: Small,Baccalaureate Colleges--Arts & Sciences,-0.561058359954303,-0.5171956863806805,0.5401876965125205,0.2502858745889611,-0.6705958304282816,2.1102189990000264,-3.694866203881191,-2.614385014795259,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,2.055012527166768,1.2868525790133472,-0.6542483510656538
Not applicable,FALSE,1.9594853525418656,2.0604128232670944,Maine,"Private not-for-profit, 4-year or above",Town: Fringe,Baccalaureate Colleges--Arts & Sciences,-0.5606344137024594,-0.5166444198534546,0.18094467028391803,0.08307982475903945,-0.6705958304282816,2.1102189990000264,-3.1801424332879593,-2.56917821294799,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,2.051475061133527,1.2741487115308026,-0.19693632585162257
Not applicable,FALSE,1.8987812375440816,1.9849846792672792,Maine,"Private not-for-profit, 4-year or above",Town: Remote,Baccalaureate Colleges--Arts & Sciences,-0.5579847496284361,-0.5131990040582929,0.0013231571696167906,0.5846979742488045,-0.500793908425544,2.1102189990000264,-3.2955868420689445,-2.2518499480330663,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,2.05865718914041,1.2868525790133472,-0.19693632585162257
Not applicable,TRUE,-0.623436320287894,-1.1490069645934038,Maine,"Private not-for-profit, 4-year or above",City: Small,Master's Colleges and Universities (medium programs),-0.42772726374945574,-0.4401561892008657,1.1688629924125749,-0.08412622507088223,0.17841377958540636,-0.4081631472274156,-0.9633603677605029,-0.23118173938097142,TRUE,TRUE,-0.6976503916322094,0.5798845157695228,-0.13133278358773134,1.2276370672331938,-0.44383203952650113,-0.13602536964342005,-1.2030227813224912
Not applicable,FALSE,-1.0526374655177952,-0.9044479164400782,Maine,"Public, 4-year or above",Town: Distant,Baccalaureate/Associate's Colleges,-0.2453243888936989,-0.1066399402292168,0.9892414792982737,-0.7529504243905689,1.1123243506004632,-2.139550872758782,-0.4619824499454579,0.05498856908759527,TRUE,FALSE,-0.6495371986718942,-1.1206598855429244,2.3434203556752933,-0.4566037509512404,-1.0448582381681648,-2.3511808511371632,-0.8371731611512663
Not applicable,TRUE,-0.9969587291540052,-0.745418654862746,Maine,"Public, 4-year or above",Town: Remote,Baccalaureate Colleges--Diverse Fields,-0.5324419879548525,-0.5020358568819691,1.0341468575768489,-0.5857443745606473,0.7727205065949879,0.11649979990330152,0.13366923784836218,0.8329375547740624,TRUE,FALSE,1.179874642349192,-0.8861971538129032,-0.506786263499543,-0.4566037509512404,-0.8861653679981714,0.5178864324262085,-0.8371731611512663
Not applicable,FALSE,-1.1990496436402986,-0.913270144928158,Maine,"Public, 4-year or above",Rural: Remote,Baccalaureate Colleges--Diverse Fields,-0.6227425395975631,-0.5974049660920439,0.6749038313482465,0.5846979742488045,1.1123243506004632,-0.46062944194048727,0.7663460594842177,0.2555832227502613,TRUE,FALSE,0.6690801894558752,-1.1206598855429244,0.47728306991748404,-0.4566037509512404,-1.036990056142714,-1.6130888830767238,-0.8371731611512663
Not applicable,FALSE,-1.185756210862303,-0.7134333026602927,Maine,"Public, 4-year or above",Rural: Remote,Baccalaureate Colleges--Arts & Sciences,-0.6563402800561772,-0.6410928383746938,0.6299984530696712,-0.5857443745606473,1.0274233895990943,-1.1426912732104195,0.28465825883538887,-0.014386051147208572,TRUE,FALSE,1.1440901545022275,-1.1206598855429244,-0.1949618245155468,-0.4566037509512404,-1.0447724814158437,-1.6083153821465634,-0.4255923384586382
Not applicable,TRUE,-0.8212241582680154,0.2636953374588344,Maine,"Public, 4-year or above",Suburb: Small,Research Universities (high research activity),0.4411505794042309,0.5014070393009132,0.764714587905397,-0.08412622507088223,-0.5856948694269128,0.1689660946163732,0.12659162748959538,0.424170112073762,TRUE,TRUE,0.2733858019388933,-0.0015258440829407855,-0.3475733333665392,-0.09772525521410941,-0.7789479884088527,0.01560173734520571,-0.7914419586298631
Not applicable,TRUE,-0.7915636666361868,-0.32483514306630723,Maine,"Public, 4-year or above",Rural: Distant,Baccalaureate Colleges--Diverse Fields,-0.6429859731231002,-0.6270355419304342,1.5730113969197528,-0.7529504243905689,-3.7270304264775587,1.113359399451664,-1.7325550615512872,0.05498856908759527,TRUE,FALSE,0.9652121549034076,-0.7924846502019257,-0.3073827406755665,-0.4566037509512404,-0.7064620935095353,1.191651568151403,-1.3859475914081036
Not applicable,FALSE,-1.2389299419742859,-0.9628235711761379,Maine,"Public, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Diverse Fields,-0.6170192651976729,-0.5899628679744947,0.6299984530696712,0.2502858745889611,0.43311666258951276,-1.1951575679234911,0.7577036490553827,0.8436417758595042,TRUE,FALSE,1.1250122858649336,-1.1206598855429244,-0.16796239138400568,-0.4566037509512404,-1.0562424470387763,-1.1731387039411074,-0.6999795535870569
Not applicable,TRUE,1.2214308910814669,1.143340262357947,Maine,"Private not-for-profit, 4-year or above",Suburb: Midsize,Master's Colleges and Universities (larger programs),-0.11156934643700792,-0.39839774976350634,0.31566080511964395,-0.5857443745606473,1.1972253116018319,0.27389868404251666,0.4356472798224156,1.0447684562543804,TRUE,TRUE,-1.652092751970568,1.099528641223503,0.15273232763315758,2.4945555031382254,0.9988109263933657,0.27464740152330913,-0.19693632585162257
Roman Catholic,TRUE,0.8752637542903065,0.7132088842324176,Maine,"Private not-for-profit, 4-year or above",Rural: Fringe,Master's Colleges and Universities (medium programs),-0.5798179815983873,-0.5881712517610107,0.09113391372676741,-0.7529504243905689,1.0274233895990943,0.11649979990330152,0.21067363855174584,0.9986952351824114,TRUE,FALSE,-0.4638710684965084,1.0095337381817975,-0.29228282776532905,-0.4566037509512404,0.8320140431290386,-1.2492179677923778,0.12318209179819929
Not applicable,TRUE,-0.7943299301044403,-0.18123523347678533,Maine,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.19483780708303455,0.21419717861623713,0.6749038313482465,-0.5857443745606473,0.09351281858403755,-0.9852923890712044,-0.09281429363217786,0.3563180264433478,TRUE,TRUE,-0.18692885759061065,0.12309307760948467,-0.031404577916214475,0.4124962984729372,-0.9459592635539822,-1.2067548018547474,-0.4713235409800413
Not applicable,TRUE,0.0841124023698208,-0.26983943301074564,Maine,"Private not-for-profit, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Diverse Fields,-0.5895687453907926,-0.5794888039572033,0.4503769399553699,-0.4185383247307256,-0.3309919864228065,-0.46062944194048727,0.3601527693289022,1.2522762781126515,TRUE,FALSE,-0.24899371089044148,0.8784920148095063,-0.4504072912725259,-0.4566037509512404,0.25154802585633257,-1.2864004998486094,-0.37986113593723503
Not applicable,FALSE,0.11254344357131456,-0.2345123275931106,Maine,"Private not-for-profit, 4-year or above",Rural: Remote,Baccalaureate Colleges--Diverse Fields,-0.6922697248999318,-0.6878126765570859,1.3035791272483008,-0.7529504243905689,-0.5856948694269128,-0.09336537894898532,0.28541320394032405,1.05112338329879,TRUE,FALSE,1.288155966421985,-1.1206598855429244,-0.39884703462046744,-0.4566037509512404,0.36195984446960816,1.2249987576810681,-1.1572915788010882
Not applicable,TRUE,-1.0280638250414773,-0.852030130293371,Maryland,"Public, 4-year or above",City: Large,Master's Colleges and Universities (larger programs),-0.060059876837996976,-0.2780838301964611,-0.8069736518447388,-0.2513322749008039,0.008611857582668745,-0.7754272102189176,0.20605057265142196,-0.5898236031066288,TRUE,TRUE,-1.1574625159754381,0.8178798061976331,-0.39205267692983126,2.9062405480706532,-1.0278569620205282,-1.3904002732228289,0.8548813321406492
Not applicable,TRUE,-1.0982347083528397,-0.7300465900729103,Maryland,"Public, 4-year or above",Suburb: Large,Doctoral/Research Universities,-0.16148901759160494,-0.16342039253348098,-2.5133780264306007,-0.2513322749008039,0.5180176235908815,-0.9328260943581327,-0.1792049190422808,0.3830698670942125,TRUE,TRUE,0.1479699856965816,0.368990229779987,-0.506786263499543,-0.29519443093252906,-1.1179658695218093,-0.3400608656082008,2.684129432996774
